steamId,name,Tags,firstReleaseDate,copiesSold,price,revenue,avgPlaytime,publisherClass,publishers,developers,steamUrl,Review Count,Review Score,Steam Followers
3503440,Astro Prospector,Management,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Action Roguelike,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Pixel Graphics,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Retro,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Space,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Space Sim,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Relaxing,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Strategy RPG,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Shooter,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Mining,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Shoot 'Em Up,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Action,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
3503440,Astro Prospector,Beat 'em up,7/14/2025,"54,860",$4.99,"$239,943",5,Indie,"[""Incrementalist"",""SpaceJazz""]","[""Incrementalist""]",https://store.steampowered.com/app/3503440,"1,210",96,"2,113"
2852980,Necroking,Turn-Based Tactics,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Roguelite,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Deckbuilding,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Card Game,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Pixel Graphics,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Roguelike Deckbuilder,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Tactical,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Procedural Generation,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Roguelike,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Adventure,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Strategy,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Card Battler,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Singleplayer,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Auto Battler,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Magic,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Dark Fantasy,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Supernatural,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Zombies,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,2D,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
2852980,Necroking,Vampire,9/4/2024,"77,612",$4.99,"$237,082",5,Indie,"[""Alawar""]","[""KORO.GAMES""]",https://store.steampowered.com/app/2852980,729,82,"5,252"
